+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                         ;
+-------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; \dsp_array:104:single_dsp|dsp_inst                                            ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:104:single_dsp                                                     ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:103:single_dsp|dsp_inst|altera_mult_add_component|auto_generated   ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:103:single_dsp|dsp_inst                                            ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:103:single_dsp                                                     ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:102:single_dsp|dsp_inst|altera_mult_add_component|auto_generated   ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:102:single_dsp|dsp_inst                                            ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:102:single_dsp                                                     ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:101:single_dsp|dsp_inst|altera_mult_add_component|auto_generated   ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:101:single_dsp|dsp_inst                                            ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:101:single_dsp                                                     ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:100:single_dsp|dsp_inst|altera_mult_add_component|auto_generated   ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:100:single_dsp|dsp_inst                                            ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:100:single_dsp                                                     ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:99:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:99:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:99:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:98:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:98:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:98:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:97:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:97:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:97:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:96:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:96:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:96:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:95:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:95:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:95:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:94:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:94:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:94:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:93:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:93:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:93:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:92:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:92:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:92:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:91:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:91:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:91:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:90:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:90:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:90:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:89:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:89:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:89:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:88:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:88:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:88:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:87:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:87:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:87:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:86:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:86:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:86:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:85:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:85:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:85:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:84:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:84:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:84:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:83:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:83:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:83:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:82:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:82:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:82:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:81:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:81:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:81:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:80:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:80:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:80:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:79:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:79:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:79:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:78:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:78:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:78:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:77:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:77:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:77:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:76:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:76:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:76:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:75:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:75:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:75:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:74:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:74:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:74:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:73:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:73:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:73:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:72:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:72:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:72:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:71:single_dsp|dsp_inst|altera_mult_add_component|auto_generated    ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:71:single_dsp|dsp_inst                                             ; 53    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; \dsp_array:71:single_dsp                                                      ; 53    ; 24             ; 0            ; 24             ; 49     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
